
==========Welcome to the Peg Solirtaire Simulator==========
              2026 AI 801 Section 001: Group 5

SHALL WE PLAY A GAME?
1. Simulate Peg Solitaire
2. Simulate Peg Duotaire
3. Run Test Bench
4. User Plays Peg Duotaire
5. Launch GUI
Your choice: Running Test Bench...
Select test type: 
1. Compare Performance of Search Algorithms
2. Compare Performance of Game Algorithms
3. Compare Performance of Dict and Bitmask Data Structures
4. Compare Performance of Different Direction Orders

depth_first_bfs on Triangle board
   1.81 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Southwest', 'Northeast', 'West', 'Southeast', 'Northwest']
   1.76 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Southwest', 'Northeast', 'West', 'Northwest', 'Southeast']
   1.78 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Southwest', 'Northeast', 'Southeast', 'West', 'Northwest']
   1.45 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Southwest', 'Northeast', 'Southeast', 'Northwest', 'West']
   1.48 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Southwest', 'Northeast', 'Northwest', 'West', 'Southeast']
   1.45 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Southwest', 'Northeast', 'Northwest', 'Southeast', 'West']
   1.46 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Southwest', 'Northwest', 'West', 'Southeast', 'Northeast']
   1.46 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Southwest', 'Northwest', 'West', 'Northeast', 'Southeast']
   1.46 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Southwest', 'Northwest', 'Southeast', 'West', 'Northeast']
   1.50 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Southwest', 'Northwest', 'Southeast', 'Northeast', 'West']
   1.49 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Southwest', 'Northwest', 'Northeast', 'West', 'Southeast']
   1.49 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Southwest', 'Northwest', 'Northeast', 'Southeast', 'West']
